1 1 6 b 3 1 D 1 3 d 1 1 1 1 1 1 1 D 1 1
5 5 5 3 1 1 D 1 7 1 1 1 1 1 1 1 1 D 1 1
5 4 1 1 1 1 D 1 1 1 1 1 1 1 1 1 1 D 1 1
4 3 7 7 4 1 D 1 1 A 1 1 1 1 1 1 1 D 1 1
1 7 3 6 1 1 I C C H C C C C C C C F 1 1
1 1 1 1 1 1 1 1 1 D s c c 1 1 1 1 1 1 1
1 s 1 1 1 1 1 1 1 D 1 1 1 1 1 1 1 1 1 1
1 6 1 1 1 1 1 1 1 D 1 1 1 1 1 1 1 1 1 1
1 s 1 1 1 1 J C C L C C C C C C G 1 1 1
1 1 1 1 s 3 D 1 1 5 8 1 1 1 1 1 A 1 1 1
b 1 1 1 1 1 D 1 1 1 1 1 1 1 1 1 D 1 1 1
c c 1 1 1 1 D 1 1 1 1 1 1 1 1 1 I C C 1
1 1 s 1 1 1 D 1 1 1 1 1 1 1 P 1 1 1 1 1
1 1 1 1 1 1 D 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 D 1 1 l 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 d D 1 1 1 1 1 1 1 1 1 1 1 1 1
C C C C C C E 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 I C C C C C C C C s 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
